進出口別,日期,貨品號列,中文貨名,英文貨名,國家,美元(千元)
出口總值(含復出口),112年12月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2020
出口總值(含復出口),112年12月,95063900006,其他高爾夫球設備, Other golf equipment,美國,5191
出口總值(含復出口),113年1月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1930
出口總值(含復出口),113年1月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7250
出口總值(含復出口),113年2月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1585
出口總值(含復出口),113年2月,95063900006,其他高爾夫球設備, Other golf equipment,美國,6225
出口總值(含復出口),113年3月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1774
出口總值(含復出口),113年3月,95063900006,其他高爾夫球設備, Other golf equipment,美國,8050
出口總值(含復出口),113年4月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2066
出口總值(含復出口),113年4月,95063900006,其他高爾夫球設備, Other golf equipment,美國,5684
出口總值(含復出口),113年5月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2061
出口總值(含復出口),113年5月,95063900006,其他高爾夫球設備, Other golf equipment,美國,6429
出口總值(含復出口),113年6月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2029
出口總值(含復出口),113年6月,95063900006,其他高爾夫球設備, Other golf equipment,美國,5801
出口總值(含復出口),113年7月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1592
出口總值(含復出口),113年7月,95063900006,其他高爾夫球設備, Other golf equipment,美國,4242
出口總值(含復出口),113年8月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2187
出口總值(含復出口),113年8月,95063900006,其他高爾夫球設備, Other golf equipment,美國,4092
出口總值(含復出口),113年9月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1729
出口總值(含復出口),113年9月,95063900006,其他高爾夫球設備, Other golf equipment,美國,4223
出口總值(含復出口),113年10月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2008
出口總值(含復出口),113年10月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7004
出口總值(含復出口),113年11月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1703
出口總值(含復出口),113年11月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7772
出口總值(含復出口),113年12月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2086
出口總值(含復出口),113年12月,95063900006,其他高爾夫球設備, Other golf equipment,美國,12262
出口總值(含復出口),114年1月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2924
出口總值(含復出口),114年1月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7447
出口總值(含復出口),114年2月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1716
出口總值(含復出口),114年2月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7600
出口總值(含復出口),114年3月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1967
出口總值(含復出口),114年3月,95063900006,其他高爾夫球設備, Other golf equipment,美國,8297
出口總值(含復出口),114年4月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2038
出口總值(含復出口),114年4月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7326
出口總值(含復出口),114年5月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1377
出口總值(含復出口),114年5月,95063900006,其他高爾夫球設備, Other golf equipment,美國,8649
出口總值(含復出口),114年6月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2030
出口總值(含復出口),114年6月,95063900006,其他高爾夫球設備, Other golf equipment,美國,6169
出口總值(含復出口),114年7月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1307
出口總值(含復出口),114年7月,95063900006,其他高爾夫球設備, Other golf equipment,美國,6028
出口總值(含復出口),114年8月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1884
出口總值(含復出口),114年8月,95063900006,其他高爾夫球設備, Other golf equipment,美國,8786
出口總值(含復出口),114年9月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1626
出口總值(含復出口),114年9月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7620
出口總值(含復出口),114年10月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2023
出口總值(含復出口),114年10月,95063900006,其他高爾夫球設備, Other golf equipment,美國,12920
出口總值(含復出口),114年11月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2088
出口總值(含復出口),114年11月,95063900006,其他高爾夫球設備, Other golf equipment,美國,11802
出口總值(含復出口),114年12月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2485
出口總值(含復出口),114年12月,95063900006,其他高爾夫球設備, Other golf equipment,美國,12057
出口總值(含復出口),115年1月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1685
出口總值(含復出口),115年1月,95063900006,其他高爾夫球設備, Other golf equipment,美國,10432
出口總值(含復出口),115年2月(初步值),95063900006,其他高爾夫球設備, Other golf equipment,日本,1834
出口總值(含復出口),115年2月(初步值),95063900006,其他高爾夫球設備, Other golf equipment,美國,9487
出口總值(含復出口),115年3月(初步值),95063900006,其他高爾夫球設備, Other golf equipment,日本,1791
出口總值(含復出口),115年3月(初步值),95063900006,其他高爾夫球設備, Other golf equipment,美國,10887
